year,country,type,latitude,longitude,month,day,elevation,vei,tsu
1825.0,United States,Stratovolcano,54.756,-163.97,3.0,21.0,2857.0,3.0,1
1826.0,Indonesia,Complex volcano,-7.2,109.879,10.0,11.0,2565.0,2.0,0
1826.0,Indonesia,Stratovolcano,-7.935,112.314,10.0,13.0,1730.0,4.0,0
1827.0,Russia,Stratovolcano,53.256,158.836,6.0,27.0,2717.0,2.0,1
1827.0,Russia,Stratovolcano,53.256,158.836,8.0,9.0,2717.0,2.0,0
1832.0,Italy,Stratovolcano,37.748,14.999,11.0,1.0,3357.0,2.0,0
1832.0,Indonesia,Stratovolcano,-7.54,110.446,12.0,25.0,2910.0,3.0,0
1833.0,Indonesia,Stratovolcano,-3.522,102.615,11.0,24.0,1940.0,2.0,0
1835.0,Nicaragua,Stratovolcano,12.98,-87.57,1.0,20.0,872.0,5.0,0
1838.0,Indonesia,Stratovolcano,0.81,127.332,2.0,26.0,1714.0,2.0,0
1839.0,Chile,Submarine volcano,-33.62,-76.83,2.0,12.0,-642.0,2.0,1
1840.0,Indonesia,Stratovolcano,0.81,127.332,2.0,2.0,1714.0,3.0,1
1840.0,United States,Shield volcano,19.421,-155.287,5.0,30.0,1222.0,0.0,1
1840.0,Turkey,Stratovolcano,39.7,44.3,7.0,2.0,5165.0,3.0,0
1843.0,St. Kitts & Nevis,Stratovolcano,17.37,-62.8,2.0,8.0,1156.0,0.0,1
1843.0,Italy,Stratovolcano,37.748,14.999,11.0,25.0,3357.0,2.0,0
1845.0,Indonesia,Stratovolcano,1.112,124.737,2.0,8.0,1785.0,2.0,1
1845.0,Colombia,Stratovolcano,4.892,-75.324,2.0,19.0,5279.0,3.0,0
1845.0,Iceland,Stratovolcano,63.983,-19.666,9.0,2.0,1490.0,4.0,0
1846.0,Indonesia,Stratovolcano,-6.77,107.6,5.0,27.0,2084.0,2.0,0
1846.0,Japan,Stratovolcano,41.805,141.166,11.0,18.0,618.0,1.0,0
1847.0,Cape Verde,Stratovolcano,14.95,-24.35,4.0,9.0,2829.0,2.0,0
1847.0,Indonesia,Complex volcano,-7.2,109.879,12.0,4.0,2565.0,2.0,0
1848.0,Indonesia,Stratovolcano,-7.935,112.314,5.0,16.0,1730.0,3.0,0
1853.0,Tonga,Shield volcano,-15.6,-175.63,6.0,24.0,260.0,0.0,0
1853.0,Philippines,Stratovolcano,13.257,123.685,7.0,13.0,2462.0,3.0,0
1853.0,Taiwan,Submarine volcano,24.0,121.83,10.0,29.0,0.0,2.0,1
1854.0,Russia,Stratovolcano,56.653,161.36,2.0,18.0,3283.0,5.0,0
1854.0,Russia,Stratovolcano,50.861,155.565,6.0,27.0,2285.0,3.0,1
1856.0,Indonesia,Stratovolcano,3.689,125.447,3.0,2.0,1318.0,3.0,1
1856.0,Japan,Stratovolcano,42.063,140.677,9.0,25.0,1131.0,4.0,0
1860.0,Guatemala,Stratovolcano,14.473,-90.88,8.0,18.0,3763.0,2.0,0
1861.0,Eritrea,Stratovolcano,13.579,41.809,5.0,7.0,1625.0,3.0,0
1861.0,Indonesia,Stratovolcano,0.32,127.4,12.0,29.0,1357.0,4.0,0
1864.0,Indonesia,Stratovolcano,-7.935,112.314,1.0,3.0,1730.0,2.0,0
1866.0,Greece,Shield volcano,36.404,25.396,2.0,20.0,367.0,2.0,0
1866.0,United States,Shield volcano,-14.175,-169.618,9.0,12.0,639.0,2.0,1
1867.0,Japan,Complex volcano,38.144,140.44,10.0,21.0,1841.0,2.0,0
1868.0,United States,Shield volcano,19.475,-155.608,4.0,3.0,4170.0,2.0,1
1869.0,Indonesia,Stratovolcano,-8.542,122.775,7.0,7.0,1703.0,2.0,0
1871.0,Indonesia,Stratovolcano,2.3,125.37,3.0,3.0,725.0,2.0,1
1871.0,Philippines,Stratovolcano,9.203,124.673,4.0,30.0,1552.0,2.0,1
1871.0,Indonesia,Stratovolcano,0.81,127.332,8.0,7.0,1714.0,2.0,0
1871.0,Philippines,Stratovolcano,13.257,123.685,12.0,8.0,2462.0,3.0,0
1872.0,Indonesia,Stratovolcano,-7.54,110.446,4.0,15.0,2910.0,4.0,0
1872.0,Indonesia,Stratovolcano,-7.54,110.446,4.0,17.0,2910.0,4.0,0
1872.0,Italy,Complex volcano,40.821,14.426,4.0,24.0,1281.0,3.0,0
1872.0,Indonesia,Stratovolcano,-7.54,110.446,11.0,3.0,2910.0,4.0,0
1873.0,Philippines,Stratovolcano,7.691,124.507,1.0,16.0,2790.0,2.0,0
1874.0,Japan,Stratovolcano,34.094,139.526,7.0,3.0,775.0,3.0,0
1874.0,Philippines,Stratovolcano,14.011,120.998,7.0,19.0,311.0,2.0,0
1875.0,Indonesia,Stratovolcano,-7.935,112.314,1.0,29.0,1730.0,0.0,0
1875.0,Iceland,Stratovolcano,65.033,-16.783,3.0,29.0,1080.0,5.0,0
1877.0,United States,Shield volcano,19.475,-155.608,2.0,14.0,4170.0,0.0,1
1877.0,Ecuador,Stratovolcano,-0.677,-78.436,6.0,25.0,5911.0,4.0,0
1878.0,Vanuatu,Stratovolcano,-19.532,169.447,1.0,10.0,361.0,3.0,1
1878.0,Papua New Guinea,Pyroclastic shield,-4.246,152.194,2.0,4.0,688.0,3.0,1
1878.0,United States,Shield volcano,53.43,-168.13,8.0,29.0,1073.0,2.0,1
1879.0,Italy,Stratovolcano,38.789,15.213,2.0,4.0,924.0,2.0,1
1883.0,Indonesia,Caldera,-6.101,105.423,8.0,27.0,285.0,6.0,1
1883.0,United States,Lava dome,59.363,-153.435,10.0,6.0,1218.0,4.0,1
1885.0,Indonesia,Stratovolcano,-8.108,112.922,4.0,18.0,3657.0,2.0,0
1885.0,Colombia,Stratovolcano,2.32,-76.4,5.0,25.0,4650.0,3.0,0
1886.0,Ecuador,Stratovolcano,-1.467,-78.442,1.0,11.0,5023.0,4.0,0
1886.0,New Zealand,Lava dome,-38.157,176.507,6.0,10.0,1111.0,5.0,1
1886.0,Tonga,Shield volcano,-15.6,-175.63,8.0,31.0,260.0,4.0,0
